onset	duration	trial_type
0.001	0	boundary
124.512	0	S 11
132.476	0	S 10
132.976	0	S105
134.433	0	S128
134.933	0	S128
135.432	0	S128
135.933	0	S128
136.432	0	S128
136.928	0	S  4
136.94	0	S128
137.433	0	S128
137.51	0	S128
137.933	0	S128
138.094	0	S  4
138.433	0	S128
138.662	0	S  4
138.934	0	S128
139.145	0	S  4
139.432	0	S128
139.836	0	S  4
139.932	0	S128
140.24	0	S  4
140.432	0	S128
140.784	0	S  4
140.932	0	S128
141.432	0	S128
141.468	0	S128
141.932	0	S128
142.064	0	S  4
142.434	0	S128
142.536	0	S  4
142.932	0	S128
142.987	0	S128
143.433	0	S128
143.447	0	S128
143.934	0	S128
144.018	0	S128
144.433	0	S128
144.488	0	S128
144.932	0	S128
145.434	0	S128
145.935	0	S128
146.177	0	S  3
156.655	0	S 11
162.051	0	S 10
162.553	0	S105
164.009	0	S128
164.508	0	S128
165.008	0	S128
165.508	0	S128
166.008	0	S128
166.508	0	S128
166.639	0	S128
167.008	0	S128
167.183	0	S128
167.508	0	S128
167.796	0	S128
168.008	0	S128
168.275	0	S128
168.507	0	S128
168.77	0	S128
169.008	0	S128
169.406	0	S128
169.507	0	S128
170.009	0	S128
170.51	0	S128
170.729	0	S128
171.008	0	S128
171.161	0	S128
171.507	0	S128
171.722	0	S128
172.008	0	S128
172.299	0	S128
172.509	0	S128
172.843	0	S128
173.009	0	S128
173.35	0	S128
173.51	0	S128
173.925	0	S128
174.007	0	S128
174.51	0	S128
175.008	0	S128
175.508	0	S  2
175.51	0	S130
175.511	0	S128
183.204	0	S  4
193.645	0	S  4
194.107	0	S  4
199.252	0	S  4
206.763	0	S  4
207.453	0	S  4
212.758	0	S  4
212.983	0	S  4
231.695	0	S 11
257.179	0	S  4
257.702	0	S  4
258.076	0	S  4
261.365	0	S  4
262.886	0	S  4
327.129	0	S 10
327.63	0	S105
329.086	0	S128
329.585	0	S128
330.086	0	S128
330.586	0	S128
331.085	0	S128
331.364	0	S  4
331.635	0	S128
331.709	0	S  4
332.06	0	S128
332.393	0	S  4
332.648	0	S128
333.193	0	S  4
333.219	0	S128
333.838	0	S128
333.941	0	S  4
334.631	0	S  4
334.643	0	S128
335.201	0	S128
335.276	0	S  4
335.877	0	S128
335.927	0	S  4
336.603	0	S128
336.671	0	S  4
337.389	0	S128
337.429	0	S  4
337.895	0	S128
338.115	0	S  4
338.729	0	S128
338.884	0	S  4
339.424	0	S128
339.736	0	S  4
340.238	0	S128
340.598	0	S  4
340.82	0	S128
341.205	0	S  4
342.641	0	S  3
348.84	0	S  2
357.821	0	S 10
380.96	0	S 10
381.46	0	S105
382.917	0	S128
383.416	0	S128
383.918	0	S128
384.416	0	S128
384.916	0	S128
385.416	0	S128
385.536	0	S128
385.918	0	S128
386.417	0	S128
386.918	0	S128
387.417	0	S128
387.916	0	S128
388.418	0	S128
388.916	0	S128
389.417	0	S128
389.757	0	S128
389.916	0	S128
390.142	0	S128
390.417	0	S128
390.677	0	S128
390.916	0	S128
391.116	0	S128
391.417	0	S128
391.648	0	S128
391.916	0	S128
392.418	0	S128
392.883	0	S128
392.916	0	S128
393.396	0	S128
393.416	0	S128
393.786	0	S128
393.916	0	S128
394.416	0	S128
394.636	0	S128
394.915	0	S128
395.056	0	S128
395.418	0	S128
395.918	0	S128
396.418	0	S128
396.895	0	S  2
408.543	0	S 10
409.044	0	S105
410.5	0	S128
411	0	S128
411.5	0	S128
412	0	S128
412.5	0	S128
412.888	0	S128
412.999	0	S128
413.498	0	S128
413.999	0	S128
414.495	0	S128
414.999	0	S128
415.5	0	S128
415.611	0	S128
416.001	0	S128
416.5	0	S128
416.722	0	S128
417	0	S128
417.231	0	S128
417.5	0	S128
417.82	0	S128
418	0	S128
418.5	0	S128
418.701	0	S128
419	0	S128
419.138	0	S128
419.5	0	S128
420.002	0	S128
420.5	0	S128
420.988	0	S  2
430.861	0	S 10
432.948	0	S  4
435.727	0	S 10
436.228	0	S105
437.684	0	S128
438.184	0	S128
438.685	0	S128
439.184	0	S128
439.683	0	S128
440.086	0	S  4
440.184	0	S128
440.599	0	S  4
440.686	0	S128
441.185	0	S128
441.207	0	S128
441.686	0	S128
441.882	0	S  4
442.185	0	S128
442.545	0	S  4
442.686	0	S128
443.175	0	S  4
443.187	0	S128
443.683	0	S128
443.759	0	S128
444.184	0	S128
444.683	0	S128
444.851	0	S  4
445.184	0	S128
445.389	0	S  4
445.683	0	S128
445.887	0	S  4
446.183	0	S128
446.686	0	S128
446.925	0	S  4
447.185	0	S128
447.421	0	S  4
447.684	0	S128
447.933	0	S  4
448.183	0	S128
448.684	0	S128
449.046	0	S  3
453.467	0	S 10
461.615	0	S 10
462.116	0	S105
463.571	0	S128
464.071	0	S128
464.571	0	S128
465.071	0	S128
465.57	0	S128
466.141	0	S  4
466.326	0	S128
466.843	0	S  4
467.151	0	S128
467.606	0	S  4
467.811	0	S128
468.351	0	S128
468.39	0	S  4
468.907	0	S128
469.171	0	S  4
469.705	0	S  4
469.806	0	S128
470.338	0	S128
470.433	0	S  4
471.525	0	S  4
471.822	0	S128
472.228	0	S  4
472.493	0	S128
472.951	0	S128
473.037	0	S  4
474.115	0	S128
474.223	0	S  4
474.761	0	S  4
474.773	0	S128
475.254	0	S128
475.408	0	S  4
476.691	0	S  3
482.923	0	S  2
519.261	0	S106
519.654	0	S107
697.875	0	S106
698.121	0	S107
698.395	0	S106
698.795	0	S107
699.575	0	S106
699.972	0	S107
701.168	0	S107
704.898	0	S  1
726.802	0	S 11
727.302	0	S105
728.759	0	S128
729.258	0	S128
729.759	0	S128
730.259	0	S128
730.758	0	S128
731.22	0	S128
731.96	0	S128
732.52	0	S128
733.089	0	S128
733.616	0	S128
734.372	0	S128
734.986	0	S128
735.555	0	S128
736.173	0	S128
736.72	0	S128
737.331	0	S128
737.909	0	S128
738.53	0	S128
739.244	0	S128
739.926	0	S128
741.161	0	S  2
746.506	0	S 11
747.007	0	S105
748.462	0	S128
748.963	0	S128
749.462	0	S128
749.963	0	S128
750.462	0	S128
750.692	0	S  4
751.525	0	S  4
752.094	0	S  4
752.694	0	S  4
753.27	0	S  4
753.846	0	S  4
754.382	0	S  4
755.073	0	S  4
755.636	0	S  4
756.184	0	S  4
756.78	0	S  4
757.391	0	S  4
757.972	0	S  4
758.542	0	S  4
759.142	0	S  4
760.395	0	S  3
760.606	0	S106
767.385	0	S 11
767.886	0	S105
769.222	0	S  4
769.343	0	S128
769.842	0	S128
770.265	0	S  4
770.343	0	S128
770.842	0	S128
771.342	0	S128
776.881	0	S 11
777.382	0	S105
778.838	0	S128
779.337	0	S128
779.84	0	S128
780.337	0	S128
780.82	0	S  4
780.838	0	S128
781.357	0	S128
781.594	0	S  4
782.299	0	S128
782.367	0	S  4
782.878	0	S128
782.913	0	S  4
783.447	0	S128
783.482	0	S  4
784.071	0	S  4
784.281	0	S128
784.856	0	S  4
784.93	0	S128
785.396	0	S  4
785.518	0	S128
786.049	0	S128
786.165	0	S  4
786.809	0	S  4
786.853	0	S128
787.467	0	S  4
787.502	0	S128
787.963	0	S128
788.101	0	S  4
788.535	0	S128
788.679	0	S  4
789.205	0	S  4
789.349	0	S128
789.845	0	S  4
789.943	0	S128
790.48	0	S128
791.065	0	S  3
796.798	0	S  2
814.684	0	S106
817.745	0	S 11
818.245	0	S105
819.701	0	S128
820.201	0	S128
820.701	0	S128
821.201	0	S128
821.7	0	S128
822.292	0	S128
822.511	0	S  4
823.144	0	S  4
824.005	0	S  4
824.783	0	S  4
824.795	0	S128
825.19	0	S128
825.439	0	S  4
825.618	0	S128
826.105	0	S  4
826.354	0	S128
826.964	0	S  4
827.116	0	S128
827.666	0	S  4
827.678	0	S128
828.946	0	S  4
829.019	0	S128
829.664	0	S128
829.718	0	S  4
830.336	0	S128
830.438	0	S  4
831.046	0	S128
831.149	0	S  4
831.703	0	S128
831.849	0	S  4
832.425	0	S128
832.48	0	S  4
832.892	0	S128
833.856	0	S  3
835.469	0	S  2
848.443	0	S106
853.04	0	S 11
853.54	0	S105
854.996	0	S128
855.497	0	S128
855.996	0	S128
856.497	0	S128
856.996	0	S128
857.353	0	S128
857.492	0	S  4
858.216	0	S  4
858.27	0	S128
858.834	0	S  4
858.894	0	S128
859.454	0	S  4
859.638	0	S128
860.096	0	S  4
860.432	0	S128
860.908	0	S  4
861.199	0	S128
861.794	0	S128
861.806	0	S  4
862.423	0	S  4
862.548	0	S128
863.2	0	S  4
863.217	0	S128
863.923	0	S128
864.007	0	S  4
864.589	0	S128
864.718	0	S  4
865.348	0	S  4
865.374	0	S128
866.032	0	S  4
866.166	0	S128
866.781	0	S  4
866.945	0	S128
867.424	0	S  4
867.468	0	S128
869.103	0	S  3
869.704	0	S  2
879.452	0	S106
883.752	0	S 11
884.252	0	S105
885.202	0	S  4
885.707	0	S128
886.208	0	S128
886.71	0	S128
887.208	0	S128
887.709	0	S128
891.711	0	S 11
892.212	0	S105
893.668	0	S128
894.168	0	S128
894.667	0	S128
895.168	0	S128
895.667	0	S128
896.279	0	S  4
896.555	0	S128
897.21	0	S  4
897.427	0	S128
898.135	0	S  4
898.174	0	S128
898.934	0	S  4
898.976	0	S128
899.833	0	S  4
899.961	0	S128
900.78	0	S  4
900.929	0	S128
901.607	0	S  4
901.717	0	S128
902.351	0	S  4
902.674	0	S128
903.287	0	S  4
903.489	0	S128
904.203	0	S  4
904.331	0	S128
905.001	0	S128
905.107	0	S  4
905.779	0	S128
905.856	0	S  4
906.672	0	S128
906.773	0	S  4
907.602	0	S128
907.883	0	S  4
908.423	0	S128
908.597	0	S  4
910.212	0	S  3
911.105	0	S  2
922.203	0	S106
927.583	0	S 11
928.083	0	S105
929.539	0	S128
930.04	0	S128
930.539	0	S128
931.04	0	S128
931.539	0	S128
932.142	0	S  4
932.171	0	S128
932.83	0	S  4
933.345	0	S128
933.74	0	S  4
934.036	0	S128
934.325	0	S  4
934.728	0	S128
934.897	0	S  4
936.091	0	S128
936.172	0	S  4
936.479	0	S128
936.843	0	S  4
937.223	0	S128
937.392	0	S  4
937.923	0	S128
938.039	0	S  4
938.545	0	S128
938.756	0	S  4
939.187	0	S128
939.375	0	S  4
939.934	0	S128
940.021	0	S  4
940.673	0	S  4
940.731	0	S128
941.356	0	S  4
941.465	0	S128
941.986	0	S128
942.765	0	S  3
945.86	0	S  2
955.06	0	S106
955.308	0	S107
964.59	0	S 10
965.091	0	S105
966.548	0	S128
967.047	0	S128
967.547	0	S128
968.046	0	S128
968.547	0	S128
969.079	0	S  4
969.634	0	S  4
970.192	0	S  4
970.747	0	S  4
971.29	0	S  4
